WF_Time,TF-IDF Time,TR- Time,WFI_Time,WF_Precision,TF-IDF Precision,TR- Precision,WFI_Precision,WF_Recal,TF-IDF Recal,TR- Recal,WFI_Recal,WF_F-Measure,TF-IDF F-Measure,TR- F-Measure,WFI_F-Measure
0.0020408,0.0104795,0.0052531,0.0020885,0.027027027,0,0.972972973,0.972972973,0.029411765,0,0.134328358,0.972972973,0.028169014,0,0.236065574,0.972972973
0.0023459,0.0116412,0.0059596,0.002415,0,0,0.931034483,0,0,0,0.113924051,0,0,0,0.203007519,0
0.0020261,0.0134144,0.0059822,0.0020149,0,0.285714286,0.023809524,0,0,0.134831461,0.003891051,0,0,0.183206107,0.006688963,0
0.0017125,0.0089679,0.004229,0.0018149,0,0,0.913043478,0,0,0,0.084337349,0,0,0,0.154411765,0
0.0011367,0.0063348,0.0028745,0.0011413,0.511111111,0.066666667,0.888888889,0.511111111,0.92,0.056603774,0.222222222,0.534883721,0.657142857,0.06122449,0.355555556,0.522727273
0.0032033,0.0164853,0.0082443,0.0032881,0.022222222,0,0.6,0.022222222,0.033333333,0,0.102272727,0.033333333,0.026666667,0,0.174757282,0.026666667
0.0012227,0.0070891,0.0032741,0.0012834,0,0.058823529,0.088235294,0.058823529,0,0.039215686,0.012765957,0.054054054,0,0.047058824,0.022304833,0.056338028
0.0010349,0.0052388,0.0018175,0.0010342,0,0,0,0,0,0,0,0,0,0,0,0
0.0024122,0.0130368,0.0051905,0.0024284,0.011904762,0,0.845238095,0.011904762,0.028571429,0,0.268939394,0.028571429,0.016806723,0,0.408045977,0.016806723
0.0021503,0.0114589,0.0053829,0.0023245,0,0.111111111,0.527777778,0.013888889,0,0.064516129,0.152,0.024390244,0,0.081632653,0.236024845,0.017699115
0.0028951,0.0142725,0.007613,0.0029492,0.082089552,0.067164179,0.76119403,0.21641791,0.55,0.12,0.4,0.935483871,0.142857143,0.086124402,0.524421594,0.351515152
0.0019364,0.0102375,0.0053267,0.001909,0.016949153,0.13559322,0.050847458,0.016949153,0.035714286,0.072072072,0.011673152,0.035714286,0.022988506,0.094117647,0.018987342,0.022988506
0.0024182,0.0130414,0.0052672,0.0024929,0.011904762,0,0.845238095,0.011904762,0.028571429,0,0.268939394,0.028571429,0.016806723,0,0.408045977,0.016806723
0.0020857,0.0124815,0.0052062,0.0022005,0.462962963,0,0.444444444,0,0.925925926,0,0.092664093,0,0.617283951,0,0.153354633,0
0.0013033,0.0075736,0.0035637,0.0013177,0.148148148,0.111111111,0.481481481,0.148148148,0.142857143,0.040540541,0.056034483,0.142857143,0.145454545,0.059405941,0.1003861,0.145454545
0.0009513,0.005678,0.0027119,0.0010148,0,0.02,0.86,0,0,0.055555556,0.240223464,0,0,0.029411765,0.375545852,0
0.0019025,0.0108856,0.0046342,0.0020518,0.08,0.04,0.653333333,0.112,0.9375,0.9375,0.960784314,0.954545455,0.147420147,0.076726343,0.777777778,0.200477327
